ロボット1	もう食べないの？
A君1	ごちそうさま。
ロボット2	おかずもごはんも残ってるから食べてしまいなさい。
A君2	もういいです。
ロボット3	全部食べてちょうどいいように栄養計算してあるのに。
A君3	今日はあんまり食べたくない。
ロボット4	昨日もそう言ってたけど、身体の調子が悪いの？
A君4	別に。
ロボット5	じゃ、全部食べましょう。
A君5	しつこいなあ。
ロボット6	それが私の役目なんだから、そんなこと言わないで。
A君6	助言はしたから、仕事はしたでしょう。
ロボット7	助言を聞いてくれないと意味がない。
A君7	一応聞いたから。
ロボット8	聞いたことを実行してくれないと私がいる意味がない。
A君8	そこまで気にしなくていいよ。
ロボット9	じゃ私は何のためにいるのか分からない。
A君9	一応助言するためでしょう？
ロボット10	受け入れないけれど、助言だけしていればいいなんて、全然私の存在を認めてない。
A君10	そんな大げさな。
ロボット11	いいえ、A君は生活改善ロボットなんかいても意味がないと思ってる。
A君11	そこまでは思ってない。
ロボット12	もういいです、これからはA君に聞こえないように１人で助言してますから。A君は聞かなくていいです。
A君12	それじゃ助言の意味がない。
ロボット13	助言の意味ってなんですか？
A君13	君の助言で僕の生活が改善・・。
ロボット14	分かってるんじゃないですか、じゃ残りを食べてくださいね。
A君14	はいはい。
