ロボット1	ねぇA君。今日もお残ししちゃうの？
A君1	うーん、だって嫌いなもの入ってるんだもん。
ロボット2	チャレンジもしないで嫌いって言ってないの？
A君2	えー前食べても嫌いだったんだから、今日も嫌いだもん。
ロボット3	今日は違う味かもしれないから食べてみたら？
A君3	えー、嫌だよ。
ロボット4	でも作ってくれた人に失礼だよ？
A君4	作ってくれた人？そんなの知らないし！
ロボット5	作ってくれる人がいないとご飯も食べれないのに何言ってるの！
A君5	だから知らないってば！
ロボット6	汗水垂らして必死に作ってくれたものだよ？
A君6	美味しくないんだもん。食べない！
ロボット7	なら、次からは好きなものも食べれないよ。
A君7	は？ほんなの無しだよ！
ロボット8	作ってくれた人は嫌いなものだって食べて欲しいんだよ！その人の気持ちもわからないから好きなものも食べれないよ！
A君8	そんな意地悪言わないでよ。
ロボット9	嫌いなもの食べないA君だって作ってくれた人からしたら意地悪されてるって思ってるかもだよ？
A君9	え…そうなのかな…
ロボット10	意地悪とまでは思ってないかもだけど悲しんでると思うよ。丹精込めて作ってくれてるんだもん。
A君10	そっか…なら少しだけチャレンジしてみようかな。
