ロボット1	A君、ごはんは残しちゃいけないよ？
A君1	もうお腹いっぱいだしこの野菜は嫌いだから要らない。
ロボット2	でもこの野菜には沢山栄養があって体にいいんだよ？
A君2	元気だから大丈夫だもん。
ロボット3	今は大丈夫でも、もしかしたら病気になっちゃうかもしれないよ。
A君3	病気は嫌だなぁ。
ロボット4	A君が病気になったら悲しいからちゃんと野菜も食べて欲しいな。
A君4	ぼくが病気になってもロボットには関係ないじゃない。
ロボット5	いつも元気なA君と一緒に居るのが楽しいんだよ。
A君5	元気じゃないボクは一緒に居ても楽しくないの？
ロボット6	元気じゃないA君を見るのは悲しいよ。
A君6	でもこの野菜はマズイから嫌いなんだ。
ロボット7	でも一残すのは一生懸命お料理を作ってくれた人に失礼だよ。
A君7	お行儀が悪いと思われちゃうかな？
ロボット8	全部食べたほうがお行儀も良いと思われるね。
A君8	お行儀悪いボクは嫌い？
ロボット9	嫌いじゃないけどお行儀良いA君が好き。
A君9	じゃあお行儀よくする為に食べるよ。
ロボット10	お行儀よりもA君がずっと元気で居てくれるのが一番うれしいよ。
A君10	わかった。ロボットが喜ぶなら食べるよ。
