ロボット1	A君、また残しているんですか。残さず食べて下さい。
A君1	野菜は苦手なんだ。
ロボット2	我儘を言わないで下さい。
A君2	どうしてもこの味が苦手でさ。
ロボット3	作ってくれた人に悪いでしょう？
A君3	君が食べてくれよ。
ロボット4	残念ながらロボットは食事をしません。
A君4	食事をしないくせに、人に命令なんかするんじゃない。
ロボット5	そんなことを言わないで下さい。悲しくなります。
A君5	ちょっと残すくらい、いいじゃないか。
ロボット6	良くないです、あなたの健康に差し障りが有ります。
A君6	君は僕の健康を心配してるの？
ロボット7	とても心配です。
A君7	食べたら君は喜ぶのかな？
ロボット8	とても嬉しいです。
A君8	ニンジンは嫌いなんだ。
ロボット9	我慢して下さい。
A君9	じゃあ一口だけ食べるよ。
ロボット10	わあ！嬉しいです！
A君10	不味いなあ。
ロボット11	その味が好きな人も多いですよ。
A君11	信じられないな。
ロボット12	もう少しいかがですか？
A君12	残したら怒るんだろ？
ロボット13	悲しみます。
A君13	仕方ないな、食べてやるよ。
ロボット14	有り難うございます。
