ロボット1	残ったピーマンも食べましょう？
A君1	やだ！！
ロボット2	お母様が遅いから拗ねてるの？
A君2	残業するママ嫌い。
ロボット3	でも夕飯作っておいてくれたよ？
A君3	でもピーマン嫌い。
ロボット4	残ったものが捨てられること知ってる？
A君4	うん。
ロボット5	嫌いなものは捨ててもいいの？
A君5	しょうがないじゃん、嫌いなんだもん。
ロボット6	私が作るスープにはいつもピーマン入ってるんだよ。
A君6	じゃあ僕ピーマン食べれるんだ！
ロボット7	うん。A君は偉いんだよ。
A君7	でも今日のは無理みたい。
ロボット8	お母様には助言差し上げていたのに…
A君8	ママは僕の話も聞いてくれないよ。
ロボット9	お忙しいとはいえ…
A君9	忙しいママは嫌だね…
ロボット10	お母様のこと、嫌い？
A君10	…時々ね。
ロボット11	じゃあピーマンみたいに捨てましょう！
A君11	え？　え？　どういう意味？
ロボット12	お母様が運転中の車にアクセスします。
A君12	やめてやめて！
ロボット13	ふふ、「嫌いなものは捨てても良い」でしたよね？
A君13	違うよ、僕が間違ってたよ！！
ロボット14	ピーマン食べるの？
A君14	食べるから！！
