ロボット1	ごはんがまだ残っているのに、どちらへ行かれるのですか？
A君1	もういらなーい。
ロボット2	いらない？世の中には食べたくても食べられない人達がいっぱいいるのですよ。出されたものは残さず食べなくてはいけませんよ。
A君2	だって、おなかいっぱいだもーん
ロボット3	ご飯の前にお菓子を沢山たべたからではありませんか？私は止めましたよ。でも、ちゃんとご飯を食べると約束したじゃありませんか。
A君3	だって、いっぱいになっちゃったんだもん。しょうがないじゃん。
ロボット4	私との約束を破るのですか・・・
A君4	そう言うわけじゃないけどさぁ
ロボット5	やぶるのですね・・・
A君5	なんだよ・・・怖いんだけど？
ロボット6	そう、私、怒っていますからね。
A君6	怒ったらどうなの？
ロボット7	2度と約束はいたしません。2度とおやつは食べさせません。安心してください。私はロボットなので決して忘れません。よろしいですか？
A君7	わかったよ。食べればいいんだろ？食べれは！
ロボット8	食べてくれますか？約束を守っていただけるのですね。私、うれしいです。沢山食べて君が大きくなれたら、私、もっと、うれしいです。
A君8	でも・・・
ロボット9	なんですか？
A君9	ミニトマト嫌いなんだ・・・
ロボット10	そうですか。しかたがありませんね。１つだけ頑張って食べたら残してもいいですよ。
A君10	はいはい。
