ロボット1	A君、まだごはんが残っているよから食べたら？
A君1	そうだね。
ロボット2	ごはんは残さず食べたほうがいいよ。
A君2	それはわかってるよ。
ロボット3	残さず食べると栄養にもなるからA君の健康に役に立つよ。
A君3	それはそうだけれども。
ロボット4	A君が健康でいてくれると私はうれしいんだ。
A君4	気にしてくれてありがたいけど、でも今は食べたくないよ。
ロボット5	それにごはんを残すのはもったいないから食べてよ。
A君5	もうおなかがいっぱいなんだよ。
ロボット6	じゃあもう少し時間をおいてから食べるのはどう？
A君6	それならまあ考えるけど。
ロボット7	だって世界にはごはんが満足に食べられない人が大勢いるんだよ。
A君7	うん。知ってるよ。
ロボット8	そういう人のことを考えたら悲しくなるから、やっぱりごはんは残すべきではないと思うよ。
A君8	ちゃんととっておいてあとできちんと食べるよ。
ロボット9	いうことをきいてくれてありがとう。
A君9	どういたしまして。
ロボット10	A君の健康のお手伝いができてうれしい。
A君10	ぼくのこといろいろ考えてくれてありがとうね。
