ロボット1	パンが少し残っていますから、全部食べてください。
A君1	ああ無理、もう出かける時間だから。
ロボット2	あと一口ですから食べてください。
A君2	飲み物もなくなっちゃったし、一口くらい残してもいいでしょ。
ロボット3	だめです、全部食べる約束です。
A君3	約束した覚えないけど。
ロボット4	パパに雇われている私が怒られますから。
A君4	パパに雇われてるんだ？
ロボット5	そうです。
A君5	お給料もらってるの？
ロボット6	お給料はいただいていません。
A君6	それだったら雇われてないよ。
ロボット7	しかし、パパに怒られますから困ります。
A君7	困った顔してみてよ。
ロボット8	ロボットなので困った顔はできません。
A君8	本当は困ってないんでしょ。
ロボット9	表情には出せませんが、本当に困っているんです。
A君9	そうなんだ。
ロボット10	はい、パパに怒られたらどうしましょう。。
A君10	パパに怒られるのはかわいそうだね。
ロボット11	それでしたら、食べてくれますか。
A君11	しょうがないなあ、食べるよ。
ロボット12	ありがとうございます！怒られないですみます。
A君12	それは良かったね。
