ロボット1	ご飯は残さず食べた方がいいと思うよ。
A君1	えー、これおいしくないからもういいよ。
ロボット2	でも栄養があって体にいいんだよ。
A君2	体に良くても食べなきゃ死ぬわけではないでしょ。
ロボット3	そうかもしれないけどお母さんがAくんのために一生懸命作ったんだよ。
A君3	・・・好きじゃないのに作るなんてありがた迷惑だよ。
ロボット4	お母さんそんなこと聞いたら悲しむよ。
A君4	そうだよね、ごめん。でももうお腹いっぱいなんだ。
ロボット5	昔の人は食べたくてもお腹いっぱいになるまで食べられなかったんだよ。
A君5	そうなの？
ロボット6	戦時中は食べ物を手に入れることも難しいことだったんだ。
A君6	食べ物を手に入れることがそんなに難しいの？
ロボット7	そうだよ。今でこそ毎日ご飯を食べれてそれが当たり前になっているけど昔は食事は貴重でとても感謝して食べていたんだよ。
A君7	そっか。今僕たちは幸せなんだね。
ロボット8	そうだよ、毎日暖かいおいしいごはんを食べられるのだから。
A君8	暖かいごはんが毎日食べられるのはお母さんのお陰なんだね。
ロボット9	そうだよ！だから食べ物に感謝して、作ってくれた人にも感謝を忘れてはだめだよ。
A君9	うん。わかった！
ロボット10	わかってくれてよかった！じゃぁ残さず食べてしまおうね！
A君10	うん、食べる。ありがとう！
