ロボット1	A君、ご飯がまだ沢山残っているじゃない？
A君1	だって、僕の嫌いな物ばかりなんだもの。
ロボット2	A君が嫌いな物も食べる事ができたら、私ははとても嬉しいし、もっとA君の事が好きになっちゃうよ。
A君2	別に僕の事が好きにならなくてもいいよ。
ロボット3	えっ！今何か言いましたか？
A君3	僕はご飯が食べたくないし、君にそんな事で僕の事を好きになられても迷惑だよ。
ロボット4	私の事が嫌いなんですね。
A君4	イヤァ、嫌いとは言ってないよ。
ロボット5	悲しいです。私はA君が大好きなのに嫌われていたなんて！
A君5	違うってばぁ！
ロボット6	いいんです。
A君6	何が？
ロボット7	ううっ！私は、お役御免なのでしょう？
A君7	はぁ？
ロボット8	食事も残さず食べて貰えないし、嫌われてしまったので、悲しすぎてどうにもなりません。
A君8	別に僕は君の事が嫌いじゃないって。
ロボット9	いいんです、悲しみのあまり私は生きていく自信がないので明日工場で解体していただきます。
A君9	もう！どーしてそうなるの？残さずご飯を食べればいいんでしょう？
ロボット10	本当ですか？
A君10	本当だよ！もう、手間のかかるロボットだなぁ。
