ロボット1	まだご飯が残っているよ。全部食べましょう。
A君1	嫌だ。お腹が一杯だし、野菜は嫌いだから食べたくない。
ロボット2	好きなものばかり食べていてはだめだよ。
A君2	どうして？野菜なんて美味しくない。
ロボット3	野菜は栄養がたくさん入っていて健康にも良いのだから食べなさい。
A君3	好きな物にも栄養は入っているでしょ。
ロボット4	なんでもバランスよく食べないと健康に良くない。食べなさい。
A君4	どうしても食べたくない。
ロボット5	わがままを言ってはいけません。
A君5	野菜を食べたらどういう良いことがあるの？
ロボット6	健康で大きくなれますよ。
A君6	好きな物ばかりを食べていたら大きくならないの？
ロボット7	そうです。なんでも嫌いなものでも食べないと大きくなれません。
A君7	じゃあ野菜を食べたらロボットは何してくれる？
ロボット8	見返りを求めてはいけません。野菜を食べることは自分にとっていいことなのだから。
A君8	 そんなこと言ってもまずいんだよ。
ロボット9	じゃあ今日は一口だけ食べてみましょう。
A君9	うん。分かった一口だけ食べてみる。
ロボット10	良かった！明日はちゃんと全部食べられるように頑張りましょう。
A君10	はい！
