ロボット1	お食事はすべて残さず食べてください。
A君1	だってこの煮物、美味しくないんだもん。
ロボット2	この煮物はA君のおばあさんが一所懸命に作ったものです。
A君2	でも今時煮物なんて、俺らは食べないし。
ロボット3	そんなことを言ったら、おばあさんが悲しみます…。
A君3	うーん、わかったよ。
ロボット4	まだ焼き魚が残っています。すべて残さず食べてください。
A君4	いや、骨を取るのがめんどくさいじゃん？
ロボット5	この魚はお母さんがA君の健康のことを考えて捌いて焼いたものです。
A君5	そんなこと言っても、肉の方が好きだしな。
ロボット6	そんなことを言ったら、お母さんが悲しみます…。
A君6	あー！もうわかったよ。
ロボット7	お食事を残さず食べてくれますか？
A君7	仕方ないから全部食べるよ。
ロボット8	ありがとうございます！
A君8	うん、食べてみるとなかなか美味しいな。
ロボット9	最近のコンビニエンスストアの惣菜はとても美味しくできているんです。
A君9	えっ？これってばあちゃんと母さんが作ったんじゃないの？
ロボット10	…お食事はすべて残さず食べてください！
A君10	結局、ロボットって最後はそうやってごまかすのな。
