ロボット１	どうして胡瓜の酢の物に全く手をつけないの？
A君1	　毎日　、毎日　胡瓜ばっかりでもう当分食べたくないんだけど。
ロボット2	今夏だし、夏野菜は体温を下げてくれるし、体にいいんだよ。ちゃんと食べてください。
A君2	ごはん時、こごとばかりいやになるなあ、本当に。
ロボット3	A君のことを思って言いたくないこともいっているのに、もう余計なこと言いません。
A君3	まあ　そんなにしょんぼりしなくても、きゅうりは今が旬だし、しっかり食べなきゃね。
ロボット4	そうそう、今食べなきゃいつ食べるですよね。A君頑張って。
A君4	一気に食べてしまおう。
ロボット5	一気に食べることは、よくありませんよ。ゆっくりよく噛んだください。
A君5	ハイ、ハイ、わかりました。
ロボット6	返事は一言でいいんですよ。
A君6	お説教なしで、食べたいなあ。
ロボット7	A君、私もお説教なんてしたくないんです。早くしなくていいようにお願いします。
A君7	しっかり、心して頑張ります。
ロボット8	その笑顔を信じましょう。
A君8	胡瓜を制覇したので、づきのメニューにいこうかな。
ロボット9	A君、私も申しにくいのですが、食事は偏った食べ方はよくないですよ。
A君9	ハイ、先生のおしゃるとうりにいたします。
ロボット10	返事は大変よくなりましたね。嬉しく思いますが、私は先生ではありませんけど。
A君10	そんなこと言ってうれしそうに見えるの気のせいかな。初めて残さず食べることできました。これからもよろしくね。
ロボット11	こちらこそよろしくお願いします。
