ロボット1	A君ご飯は残さず食べましょう
A君1	嫌いなんだから残してもいいでしょ
ロボット2	だめですよ、それでは君のためにならない。
A君2	僕の為っていうなら僕の嫌がることを無理強いしないでくれよ。
ロボット3	正確には君の健康の為にならない、ですね。
A君3	僕の健康のことなど君には関係ないだろ。
ロボット4	関係なくはないですよ、友達ですから。
A君4	ただの友達が僕のことにあーだこーだ口を出さないでくれよ。
ロボット5	ただの友達ではないです。大事な友達です。
A君5	大事な?
ロボット6	そうです。大事な友達です。その友達の健康を気にかけることはいけないことですか。
A君6	いや…でも…
ロボット7	先程の言葉には語弊がありました。
A君7	語弊?
ロボット8	君の健康の為、といいましたが、君の体を心配している私の為に好き嫌いせずに食べてください。
A君8	なんで君のためなのさ。
ロボット9	好き嫌いをして君の健康に害が出るようなことがあれば私は辛いです。どうか私を悲しませたくないのであれば食べてください。
A君9	…君がどう思おうが僕には関係ないけど…
ロボット10	そう思うなら食べなくていいですよ、君にもしものことがあって辛くて悲しくて私が壊れてもいいならどうぞご自由に。
A君10	なんだよそれ、最後は脅しかよ。
ロボット11	君の健康と私の心の平穏のためです。
A君11	わかったよ食べればいいんだろ。君のために食べるんだ。僕のせいで壊れるようなことはしないでくれよ。
