ロボット1	そんなに残したら勿体無いよ
A君1	だって、嫌いなんだもん
ロボット2	なんで嫌いなの？
A君2	だって、野菜とか苦いし不味いし美味しくないよ
ロボット3	何が好きなの？
A君3	ハンバーグとかカレーとか
ロボット4	ふーん、そんなのが好きなんだ
A君4	だって美味しいじゃん
ロボット5	もっと凄い美味しい食べ物だってたくさんあるの知ってる？
A君5	え？　そうなの？　
ロボット6	うん、でも、A君は食べられないかもしれない
A君6	なんで？
ロボット7	美味しい物をたくさん食べる為には健康な大人にならなきゃいけないんだよ
A君7	どうすれば健康な大人になれるの？
ロボット8	A君が嫌いな食べ物は、大人になるために必要な食べ物なんだ、だから残さず食べないともっと美味しいものは食べられないよ
A君8	そうか...いつも残している食べ物は僕に必要な食べ物なんだね
ロボット9	そう、A君にもっと美味しい物食べてもらいたいんだよ
A君9	ありがとう、まだ食べたことないけど、僕の知らない美味しい食べ物がたくさんあるんだね
ロボット10	うん。大人になって、A君が美味しい物をたくさん食べて、僕に色んな話をしてくれたらとても嬉しいよ
A君10	うん、じゃあ食べ物は残さず全部食べてみるよ
