ロボット1	ご飯は好き嫌いせずに残さず食べましょう。
A君1	嫌いな物は食べたくない。
ロボット2	好きなものだけ食べていると大きくなれないし健康にも良くないよ。
A君2	でもどうしても食べたくない。美味しくないし、好きな物だけ食べたい！
ロボット3	A君が嫌いなものを食べられるように、好きなものもたくさん用意したよ。一口だけでいいから食べてごらん。
A君3	食べたくないものは食べたくない！
ロボット4	せっかくA君のために作ったのに食べてくれないのはとても悲しいな。
A君4	好きなものは残さず食べてるよ。
ロボット5	A君が大きくなれるように嫌いなものも食べて欲しいんだ。
A君5	その代わりに牛乳を飲むよ。
ロボット6	A君が大きくなれなかったら悲しいな。健康で元気な男の子になってほしんだ。
A君6	どうして僕が大きくなれなかったらロボットは悲しいの？
ロボット7	A君のことが大好きだからさ。
A君7	そうなんだ。
ロボット8	だからA君が健康で元気な男の子になれるように嫌いなものも食べてほしいな。
A君8	嫌いな物を食べたら大きくなれるの？
ロボット9	なれるよ！だから一口だけ食べてみて。
A君9	食べたら大きくなれて、ロボットも嬉しいんだよね？
ロボット10	うん。とても嬉しいよ！
A君10	分かった！食べてみるよ。
