ロボット1	まだお皿の中においしいお野菜たちが残ってるよ
A君1	もういらない
ロボット2	どうして？まだ食べれるはずだよ？
A君2	野菜美味しくないし食べたくない
ロボット3	酷いよ！このお野菜達はね、君に美味しく食べてもらうために頑張ってここまで育ったのに最後まで食べてあげないなんて！
A君3	そんな事知らないよ
ロボット4	オレンジ色が綺麗な人参…艶々のピーマン…どれもすごく魅力的じゃない
A君4	み、魅力的？
ロボット5	こんな美味しそうなお野菜達を君は味わえるんだよ？！僕にはそれが出来ないんだ！
A君5	…ロボットだもんね
ロボット6	羨ましいよ！君は味わう事が出来てさらにそれを栄養にする事が出来る！僕には何一つ出来ないんだよ
A君6	…しょうがないじゃん
ロボット7	じゃぁせめて全部食べてよ お野菜達にも僕にも失礼じゃない 僕だって食べたいんだよ
A君7	わかったよ 食べるよ
ロボット8	本当に？わかってくれたんだね ありがとう
A君8	僕は食べれるからね
ロボット9	食べれるってすごい事なんだよ。それにお母さんがＡ君に食べてもらう為に一生懸命作ってくれたものだもんね
A君9	まあな
ロボット10	残さず食べてくれたらお母さん何て言ってくれるかな？きっと喜ぶと思うな
A君10	そうかな？喜んでくれるなら食べなきゃね
