ロボット1	まだ、野菜が残っていますよ。残さずに食べましょう。
A君1	今日は食べる気分じゃないんだ。
ロボット2	栄養素の偏りは身体によくありませんね。
A君2	明日はちゃんと食べるよ。
ロボット3	私の仕事はA君の生活習慣を正すことです。ちゃんと食べましょう。
A君3	ロボットのくせにうるさいんだよ。
ロボット4	ロボットがキミの健康を考えてはいけないのですか？心配してはいけないのですか？
A君4	いけなくはないけど、ちょっと口うるさいよ。
ロボット5	キミはまだ若いですが今からきちんとした食生活を習慣にしておかないと、病気になるリスクが高まります。
A君5	それはわかるけど。
ロボット6	もしキミが病気になってしまったらと考えるととても悲しいです。
A君6	なぜ？
ロボット7	私がもっとちゃんとお願いをしていたら避けられていたかもしれないと考えるからです。
A君7	そうではないよ、ボクの責任だ。わかった、ちゃんと食べるよ。
ロボット8	ありがとうございます！わかってもらえて嬉しいです。
A君8	自分の健康を守るためだ。
ロボット9	では私はキミの苦手な野菜が食べやすくなるようなレシピをたくさん検索しておきますね！
A君9	一緒に食べられたらいいのに。
ロボット10	それはできませんが、では私も苦手なメンテナンスをいやがらないように努力します。
A君10	一緒に頑張ろう。
