ロボット1	Ａ君、充分な睡眠をとるには、もう眠ったほうがいいようです。
A君1	寝る気分じゃないよ。
ロボット2	何か悩み事があるんですか？
A君2	悩みはないよ。なんとなく起きてるだけ。
ロボット3	眠ってしまえば、朝起きた時、頭もすっきりしますよ。
A君3	分かるけど、もう少しだけ起きてるよ。やらないといけないこともあるし..
ロボット4	やらないといけないことは、明日起きてからやりましょう。僕が起こすので、安心して眠ってください。
A君4	でも気になって眠れないよ。
ロボット5	大丈夫ですよ。電気を消して、布団に横になって、目を閉じてください。
A君5	でも..
ロボット6	電気を消して、布団に横になりましたか？
A君6	分かったよ..横になったよ。
ロボット7	目を閉じて、腹式呼吸を意識してください。
A君7	す?ふ?す?ふ?
ロボット8	目を閉じていますか？
A君8	閉じてるよ。
ロボット9	Ａ君が眠るまで、僕は起きていますからね。腹式呼吸を繰り返していると、手足の先が暖かくなって、よく眠れますよ。Ａ君、眠ったんですか？
A君9	起きてるよ。
ロボット10	寝てください。
A君10	....。おやすみ。
