ロボット1	Ａ君、そろそろ寝る時間ですよ。
A君1	まだ眠くないから寝ないよ。　　　　　　　　　　　　　　
ロボット2	Ａ君、もう遅いので早く寝ないと明日起きられませんよ。
A君2	別に明日は早く起きる必要ないし、夜更かししたって別にいいじゃん。
ロボット3	Ａ君、夜更かしは体に悪いのでもう寝ましょう。
A君3	うるさいなぁ、ほっといてよ。
ロボット4	Ａ君、あなたが健康でいることが私の幸せですので、ほおっておくことはできません。
A君4	ロボットのくせにうるさいんだよ！
ロボット5	Ａ君、そんな風に言うなんて悲しいです。　　
A君5	眠くなったら勝手に寝るからホントに気にしないでくれるかなぁ〜
ロボット6	Ａ君、私はあなたがいつも元気でいて欲しいのです。
A君6	そう言われても眠くないから眠れないよ。
ロボット7	Ａ君、それでは私が睡眠のお手伝いをしましょう。
A君7	手伝いってどういうこと？
ロボット8	羊が1匹、羊が2匹、羊が3匹、羊が4匹、羊が５匹、羊が6匹……
A君8	えっ、なにそれ、そんなんで寝られるわけないじゃん。
ロボット9	羊が７匹、羊が８匹、羊が９匹、羊が10匹……
A君9	わかったよ、もう寝るからやめて！
ロボット10	Ａ君、それではおやすみなさい。
A君10	はいはい、おやすみ。
