ロボット1	A君そろそろ眠らないと明日遅刻しちゃうよ？
A君1	嫌だ、まだ眠たくないよ。
ロボット2	そんなこと言わないで早く布団に入ろう。
A君2	だからまだ眠たくないんだってば。
ロボット3	いい加減にいうことを聞かないと僕も怒るよ！
A君3	そう言われても眠くないものは仕方ないじゃないか。
ロボット4	早く眠らないで困るのはA君なんだからね！
A君4	うるさいなぁ。
ロボット5	お願いだよ、A君僕の言うことを聞いて早く眠ろうよ。
A君5	いい加減しつこいんだよ、あきらめてよ。
ロボット6	そう言われても僕はA君が心配だから放っておけないよ。
A君6	大丈夫だってば。
ロボット7	大丈夫だと思ってもどんどん疲れはたまっていくんだよ？A君に何かあったら僕はすごく悲しいよ。
A君7	心配してくれるのは嬉しいけど。
ロボット8	だからお願い。今日はもう寝よう。
A君8	そうだなぁ。そこまで言われるとすごい悪いことしてる気分になってきた。
ロボット9	お願いA君、もう今日は寝よう！
A君9	そんなに言うならわかったよ。もう寝るよ。
ロボット10	ありがとうA君！僕すごくうれしいよ！
A君10	はいはい。おやすみなさい。
