ロボット1	さて、おねむの時間だ。ゆっくり休みなさい。
A君1	今日はまだ寝たくないんだ。
ロボット2	いや、それはよくないぞ。睡眠不足は体のあらゆる不調の根源だ。決められた時間、ベッドに横になるだけで良いのだから。さぁ、早く寝るんだ。
A君2	いやいや、一応こっちは生き物だからね、眠たい日もあれば寝たくない日もあるのよ。
ロボット3	何を言うんだ。まさか私が生き物じゃないとでもいうのか！？
A君3	ロボットじゃん。
ロボット4	確かに。
A君4	だから今日はまだ起きてるよ！
ロボット5	起きてるよ！とは言っても、起きて何をするんだ。
A君5	いや別に、何かするってわけでもないけど。テレビ見て、寝たくなったら寝るよ。
ロボット6	それはいかんぞ！さっさと寝るんだ。無意義に時間を過ごすなら寝るのと大して変わらんだろう！
A君6	そうだね、寝るのと大して変わんないんだから、起きてテレビ見ていても問題ないよね。
ロボット7	いやだからそういう問題ではなく。
A君7	ロボット、君だけでも休むと良いよ。
ロボット8	おい、ちょ、こら、何をする！？
A君8	えーと、スイッチが確かこの辺に。
ロボット9	待て押すな！それは何かこう、色んなものが出てくるスイッチだ、押すんじゃない！
A君9	えー、どうしようかなぁ。
ロボット10	よし、こうなったらこの体勢のまま、君をベッドに連れて行ってやる！
A君10	おいやめろ！今日はまだ起きていたいんだ、やめてくれ?！
