ロボット1	A君、もう就寝する時間ですよ。
A君1	面白いテレビやってるからまだ寝たくないんだ。
ロボット2	明日は朝早くから学校もありますし、睡眠不足は学業に響きますよ。
A君2	授業中にちょっと寝れば大丈夫だよ。
ロボット3	それはいけませんね。ちゃんと授業に集中しなくては！
A君3	授業もつまらないし、別に良いんじゃない？
ロボット4	つまらないから積極的に物事に取り組まないのは間違っていますよ。
A君4	それはどうしてかな？
ロボット5	今ここで頑張らない人は、高校や就職試験でも本気を出せなくなります。
A君5	それもそうかもね。君の言う通りこれからちゃんとしようかな。
ロボット6	ありがとうございます。A君の素直な気持ちが聞けて嬉しいです！
A君6	素直な僕になったということで、この番組まで観ても良いかな？
ロボット7	仕方ないですね。これまでですよ。
A君7	やったね！ありがとう！
ロボット8	どういたしまして。これからも毎回わたしの言うことを聞いてくれたら良いのですが……
A君8	そうだなぁ、お母さんにお小遣いアップの手助けしてくれたら言うこと聞いてもいいかな。
ロボット9	それは調子が良いですね。怒りますよ！
A君9	ごめんごめん。でもロボットだから怖くないや。
ロボット10	今の会話は録音されていますから、お母さんに報告してもいいですか？
A君10	本当に申し訳有りませんでした。
