ロボット1	さあ、2２時だ。寝る準備を始めよう！
A君1	ん〜、もうちょっと。
ロボット2	だめだよ。君は歯磨きしてお風呂に入るのに1時間かかるんだから。今から寝る準備を始めないと、明日の朝にきちんと起きられないよ。
A君2	ん〜、明日は今日よりもゆっくり起きても大丈夫だと思うよ。
ロボット3	その根拠はなんだい？
A君3	ん〜、なんとなく。
ロボット4	さあ、とにかくお風呂に入るんだ。23時に寝れば、７〜８時間の睡眠時間が取れるから、明日はすっきり起きられるよ。
A君4	う〜ん、起きるのがしんどい…。お風呂に入るのも体力がいるんだよ…。
ロボット5	じゃあ、今日はお風呂に入らなくていいよ。人間お風呂に入らなくても死にはしないからね。
A君5	いや、入らない訳にはいかないよ…。入ってくるよ。
ロボット6	歯磨きも今日はしなくていいよ。２〜３日なら歯磨きしなくても、虫歯にはならないからね。
A君6	歯もちゃんと磨くよ…。
ロボット7	それでこそA君だよ。疲れてるのに歯磨きとお風呂にも入って寝るなんて、君でないとできないよ。さすがだ！
A君7	えへへ。。。そうかなあ。
ロボット8	うん。君がお風呂に入ってくれる気になって、僕は本当にうれしいよ。
A君8	本当？それだけで君はそんなにうれしいの？
ロボット9	そりゃそうさ。ちゃんと寝た日の、次の朝の君は男前だからね。あの顔を見られたらロボット冥利に尽きるってものさ。
A君9	えっ、良く寝た日はそんなに顔つきが変わるものなの？
ロボット10	もちろんそうだよ。気づいてくれてうれしいよ。早く寝るようにすれば、女の子にモテモテだよ。
A君10	これからは早く寝るよ！
