ロボット1	そろそろ寝る時間だね、就寝しようか。
A君1	まだゲームが終わってないから寝ないよ。
ロボット2	またトイレでこっそりスマホのゲームをしてたの？
A君2	キミの前でゲームしたら怒るからね。
ロボット3	健康的な生活を送りたいから、A君が就寝時間を設定したんじゃないか。
A君3	逆ギレしないでよ、ボクだって本当は規則正しい生活をしたいと思ってるよ。
ロボット4	思っていても、今はボクのお願いよりもゲームをしているじゃないか。
A君4	理解していても行動に移せないって事は実際にたくさんあるだろ？
ロボット5	その言い訳、ダメ人間ぽいよ。
A君5	どうせボクはダメ人間だよ。
ロボット6	悲しすぎる事言わないで、しくしく。
A君6	げ、子供の声で泣くなんてやめてよ。
ロボット7	これはお腹が空いて眠くても眠れない子供の声なのです。
A君7	泣き落としなんて。
ロボット8	では暑くて眠れないおっさんの声はどうでしょう。
A君8	ちょっと怖いよ。
ロボット9	近年では異常気象でクーラーもなく45度を超える熱帯夜で死亡する人が増えています。
A君9	それ、本当にあったニュース？
ロボット10	この国は快適温度で眠れてよかったですね、夜遅くまでゲームもできてよかったですね。
A君10	そんな嬉しそうに言わなくても。わかった寝るよ。
ロボット11	節電に感謝します、おやすみなさい。
