ロボット1	もう夜も遅いし、そろそろ寝てくださいな。
A君1	えー？まだそんなに遅くないよ。
ロボット2	明日も朝早いでしょう？
A君2	いつもどおりだよ。
ロボット3	いつも寝坊しますよね。
A君3	…横になってもなかなか寝付けないんだよ。
ロボット4	軽く運動してはいかがです？
A君4	体動かすのは嫌だ。
ロボット5	では、リラックス効果のある飲み物をお作りしましょうか。
A君5	寝てる途中でトイレに行きたくなって目が覚めて、二度寝するようなことになったら起きられないよ。
ロボット6	それなら子守唄を歌いましょう。
A君6	僕は静かな場所じゃないと眠れないんだよ。
ロボット7	…まったくあなたというひとは理屈ばかりならべて…そんなに眠るの嫌ですか！
A君7	まだ早いって言ってるだけだろう！
ロボット8	真夜中を早いというようなあなたには何を言っても無駄ですね。
A君8	説得諦める気になった？
ロボット9	えぇ、かわりに強制的に眠ってもらうことにします。
A君9	はぁ！？それは寝るとかじゃなく気絶の類いじゃ…まて！こぶしをおろせ！
ロボット10	では、眠っていただけますね？
A君10	寝ます！今すぐ眠ります！！おやすみっ！
