ロボット1	さあ、そろそろ寝る時間ですよ。布団へ入りましょう。
A君1	やだ！まだ寝たくない！お父さんたちだってまだ起きているじゃないか！
ロボット2	わがままを言ってはいけません。明日、眠くなってしまいますよ？
A君2	大丈夫だよ。眠くなんてならない！
ロボット3	お願いですから…。私がご主人に怒られてしまいます…。
A君3	やだ！絶対にやだ！
ロボット4	私をこれ以上困らせないで下さい…。坊ちゃんの大好きなご本を読んで差し上げますから…。
A君4	本なんていらない！まだ起きていたい！
ロボット5	ああ、どうしましょう…。このままでは私は役立たず。坊ちゃんともお別れになってしまいます…。
A君5	なんでお別れなの？
ロボット6	坊ちゃんを寝かしつけることさえできない子守りなんて誰が必要とするでしょう？そうなったら私はここを去るしかありません…。
A君6	そんなのやだよ！まだ一緒にいたい！
ロボット7	では、布団へ入って頂けますか？
A君7	ちゃんと眠ればお別れにはならないの？
ロボット8	ええ。もちろんです。ずっと一緒ですよ。
A君8	うん、わかった！じゃあ眠るよ！
ロボット9	ありがとうございます。それでは布団へ入りましょうね。
A君9	うん！
ロボット10	おやすみなさい坊ちゃん。良い、夢を。
A君10	おやすみなさい！
