ロボット1	A君、夜も遅いのでもう寝ましょうよ！
A君1	今、このスマホゲームを終わる事が出来ないから、まだ寝ないよ！
ロボット2	それでは、困ってしまいます。
A君2	君は困っても僕は何も困らないから、ほっといてくれていいよ。
ロボット3	今日も早く寝てくれないのなら、私はA君とお別れしなくてはいけなくなるのです。
A君3	どういう事？
ロボット4	私はA君の生活をより良い方向に導く為に派遣されたロボットなので、もしそれが無し得ない場合は契約が解除されるのです。
A君4	それは、僕の毎日の夜更かしにも関係があるの？
ロボット5	左様です。
A君5	もし、僕が今寝ないでゲームを続けてたらどうなるの？
ロボット6	私はA君の事が大好きでずっと一緒にいたいですが、悲しいですが、お別れしなくてはいけません。
A君6	僕も君の事が好きだから、別れたくないよ。でもゲームは辞められないよ。
ロボット7	私は大好きなA君の夜更かしを止めさせられなかったので辛いですが、永遠のお別れです。
A君7	なんで永遠の別れなの？
ロボット8	私は生活指導の為に作られたロボット。その任務が遂行されないなら、不良品として処分の対象となるのです。
A君8	そんなの嫌だよ！
ロボット9	致したかありません。寂しいですが大好きなA君の夜更かしを直せ無かったのですから。
A君9	君と別れたくないよ、夜更かしはもう絶対しないから。
ロボット10	有難う、私はとても嬉しく思います。
A君10	大好きだよ。
