ロボット1	A君、そろそろ寝る時間ですよ。
A君1	まだ寝ないよ
ロボット2	今寝ないと明日がきついですよ。
A君2	TVがまだ終わっていないよ。
ロボット3	TV番組は録画したらどうでしょう？　眠い目で見なくても明日みたらより楽しめますよ。
A君3	ゲームをまだしたいよ。
ロボット4	寝る前にゲームするとかえって目が覚めるそうです。ゲームはやめないと眠れなくなりますよ。
A君4	やだ
ロボット5	今寝ないと明日のご飯がおいしくなくなりますよ。ベッドに横になるだけで自然に眠くなります。
A君5	横になっても眠れない。
ロボット6	落ち着いて天井を見ていると自然に眠れますよ。
A君6	やだ
ロボット7	寝てください。体に悪いのですから。おかあさんに怒られますよ。
A君7	おかあさんも起きてるよ
ロボット8	子供は大人よりたくさん寝ないといけないのです。大人は今までたくさん寝てる分、起きていても大丈夫なのです。
A君8	何か楽しいことをして
ロボット9	夢は楽しいですよ。しっかり寝れば楽しい夢を見られますよ。
A君9	でもまだ起きていたい。
ロボット10	早く寝なさい。明日がきつくなってぼーっとしてしまいますよ。
A君10	寝たくない。
