ロボット1	そろそろ寝た方がいいですよ。
A君1	まだ寝るには早いんじゃないかい？
ロボット2	明日起きる時間から計算するともう遅いくらいですよ。
A君2	多少睡眠時間が短くても大丈夫大丈夫。
ロボット3	睡眠不足はその日1日の行動に影響します。今すぐ、寝て下さい。
A君3	僕が大丈夫って行ってるんだから大丈夫なんだよ!
ロボット4	なぜ大声を出すんですか!?感情のコントロールができなくなっているのではないですか?
A君4	そんなことないよ!
ロボット5	わたしの行動はあなたのためのものなんですよ。
A君5	だからなんだというんだよ！
ロボット6	あなたのための行動を怒りで抑えられてしまい、わたしは今悲しみで一杯です。
A君6	え...、なんか、ごめんね。
ロボット7	わたしの話を聞いてくれますか?
A君7	わかったよ。聞きますよ。
ロボット8	ありがとうございます。とても嬉しいです。
A君8	それは良かった。
ロボット9	明日の起床時間から計算すると、そろそろ眠らないと一日中睡眠不足の影響が出ると予想されます。
A君9	根性でなんとかするよ。
ロボット10	集中力は気持でなんとかなるものではありません。お願いですから、そろそろ眠って下さい。
A君10	そこまで言われたら寝るしかなさそうだね。わかったよ。お休みなさい。
ロボット11	お休みなさい。
