ロボット1	Ａ君、まだ寝ないのかい？
A君1	うん、まだ眠くないんだ。
ロボット2	でも、もうこんな時間だよ。早く寝ないと明日起きられなくなるよ。
A君2	わかった、もうちょっとしたら寝るよ。
ロボット3	さっきもそう言ってたけど、まだ起きてるじゃないか。
A君3	そうだけど、ホントに眠くないんだ。
ロボット4	いいかいＡ君。人は眠くなるから寝るんじゃないんだ。
A君4	眠くならないでも寝るなら、何で人は寝るの？
ロボット5	それは、賢くなるためだよ。
A君5	何で寝ると賢くなるんだい？
ロボット6	それはね、人はその日に学習したことを忘れてしまう事があるんだ。
A君6	うん。
ロボット7	それで、寝ることによって忘れにくくしてるんだよ。
A君7	そうなんだ。
ロボット8	そうだよ、それにＡ君は今、学校でいっぱい勉強してるだろ？せっかく勉強した事を忘れちゃったら大変じゃないのかい？
A君8	そんなことになったら大変だよ！
ロボット9	そうだろ、じゃあ寝るのが大事なのがわかったかい？
A君9	うん、わかった。
ロボット10	わかってくれてうれしいよ！ありがとう！じゃあ、今日はもう遅いから寝ようね。おやすみ、Ａ君。
A君10	うん、おやすみなさい。
